DatGeracaoConjuntoDados;DscOrigem;NomTipoUsina;NomSubTipoUsina;QtdUsinaTermeletrica;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;12;2015
2023-07-01;Biomassa;Biocombustíveis líquidos;Óleos vegetais;2;4350,40;12;2016
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;3 ;2012
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;3 ;2013
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;3 ;2014
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;3 ;2015
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;3 ;2016
2023-07-01;Biomassa;Biocombustíveis líquidos;Óleos vegetais;2;4350,40;3 ;2017
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;6 ;2012
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;6 ;2013
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;6 ;2014
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;6 ;2015
2023-07-01;Biomassa;Biocombustiveis Liquidos;Óleos Vegetais;2;4350,40;6 ;2016
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;9 ;2012
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;9 ;2013
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;3;19110,00;9 ;2014
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;9 ;2015
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;1;4030,40;9 ;2016
2023-07-01;Biomassa;Carvao mineral;Calor de Processo - CM;1;24400,00;9 ;2016
2023-07-01;Biomassa;Carvao mineral;Carvão Mineral;13;3389465,00;9 ;2016
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;12;2012
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;12;2013
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;51400,00;12;2014
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;51397,00;12;2015
2023-07-01;Biomassa;Floresta;Carvão Vegetal;8;54097,00;12;2016
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;3 ;2012
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;3 ;2013
2023-07-01;Biomassa;Floresta;Carvão Vegetal;5;35000,00;3 ;2014
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;51397,00;3 ;2015
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;51397,00;3 ;2016
2023-07-01;Biomassa;Floresta;Carvão Vegetal;8;54097,00;3 ;2017
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;6 ;2012
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;6 ;2013
2023-07-01;Biomassa;Floresta;Carvão Vegetal;5;35000,00;6 ;2014
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;51397,00;6 ;2015
2023-07-01;Biomassa;Floresta;Carvão Vegetal;8;54097,00;6 ;2016
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;9 ;2012
2023-07-01;Biomassa;Floresta;Carvão Vegetal;3;25200,00;9 ;2013
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;54900,00;9 ;2014
2023-07-01;Biomassa;Floresta;Carvão Vegetal;7;51397,00;9 ;2015
2023-07-01;Biomassa;Floresta;Carvão Vegetal;8;54097,00;9 ;2016
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;12;2012
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;12;2013
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;7;107865,00;12;2014
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;9;111865,05;12;2015
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;11;332265,05;12;2016
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;3 ;2012
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;3 ;2013
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;3 ;2014
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;8;109865,00;3 ;2015
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;10;114265,05;3 ;2016
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;11;332265,05;3 ;2017
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;6 ;2012
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;6 ;2013
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;6 ;2014
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;8;109865,00;6 ;2015
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;10;114265,05;6 ;2016
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;9 ;2012
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;0;,00;9 ;2013
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;5;92865,00;9 ;2014
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;8;109865,00;9 ;2015
2023-07-01;Biomassa;Floresta;Gás de Alto Forno - Biomassa;10;114265,05;9 ;2016
2023-07-01;Biomassa;Floresta;Lenha;2;14650,00;12;2016
2023-07-01;Biomassa;Floresta;Lenha;2;14650,00;3 ;2017
2023-07-01;Biomassa;Floresta;Lenha;2;14650,00;9 ;2016
2023-07-01;Biomassa;Floresta;Licor Negro;14;1235643,00;12;2012
2023-07-01;Biomassa;Floresta;Licor Negro;17;1568004,00;12;2013
2023-07-01;Biomassa;Floresta;Licor Negro;17;1785102,00;12;2014
2023-07-01;Biomassa;Floresta;Licor Negro;17;1978136,00;12;2015
2023-07-01;Biomassa;Floresta;Licor Negro;17;2261136,00;12;2016
2023-07-01;Biomassa;Floresta;Licor Negro;14;1245198,00;3 ;2012
2023-07-01;Biomassa;Floresta;Licor Negro;14;1246222,00;3 ;2013
